inggrisa,alproa,aljabarlinear,fisikadasar,kalkulusa,aptia,inggrisb,alprob,kalkulusb,aptib,statistika,pemdas,pemdasprak,pemweb,pemwebprak,pbo,pboprak,sbd,sbdprak,sd,sdprak,jarkom,jarkomprak,matdis,mpa,sbdl,sbdlprak,sc,tbo,konsentrasi
b,b,b,a,b,a,b,a,b,b,a,b,b,b,b,a,b,b,c,b,c,b,a,b,b,b,a,c,a,0
b,b,c,b,c,a,b,a,b,b,b,c,b,b,b,b,b,a,c,b,b,b,b,c,c,b,b,c,b,0
b,b,b,b,c,a,b,c,c,a,c,b,c,b,c,b,c,d,d,b,b,c,c,b,d,d,c,c,b,0
b,b,a,a,a,a,b,a,a,b,b,b,a,b,b,a,b,b,c,c,b,b,a,b,b,a,a,b,a,1
c,b,c,c,d,a,b,c,b,c,b,b,b,b,b,c,a,d,c,d,c,c,b,b,b,c,b,b,a,2
c,c,a,a,b,a,a,b,c,b,b,a,a,a,a,a,a,b,b,b,b,a,a,a,b,c,b,a,c,1
b,b,a,a,a,a,a,a,a,b,b,a,a,b,b,a,a,b,b,b,b,b,a,b,c,a,a,c,a,0
a,b,a,a,a,a,a,b,a,b,a,a,a,a,b,b,a,a,b,b,b,a,a,a,b,a,a,a,a,2
b,b,a,b,c,a,b,b,b,b,b,b,b,b,b,c,b,b,c,b,c,b,c,b,c,b,a,b,b,2
b,b,a,b,c,b,b,c,b,b,b,a,a,a,a,a,a,b,b,b,b,b,a,b,b,b,a,c,b,0
a,b,a,a,b,a,a,b,a,b,a,a,b,a,a,a,a,b,a,a,b,a,c,a,b,a,a,a,b,1
a,a,a,a,a,a,a,b,a,a,a,a,b,a,a,a,a,b,a,a,b,b,a,a,b,a,a,a,a,1
a,b,a,a,b,a,b,a,b,b,b,a,b,a,b,a,b,b,b,b,b,b,b,b,b,a,b,b,b,0
b,a,a,b,b,a,a,c,b,a,b,a,a,a,a,a,a,b,c,b,b,a,a,a,b,b,a,b,c,1
c,a,b,b,c,b,a,c,c,b,b,b,b,b,c,b,b,c,d,c,c,b,b,c,b,b,b,b,d,0
b,b,a,b,c,a,b,b,b,b,c,b,b,a,b,a,a,b,b,b,a,a,a,a,a,a,a,b,c,0
